source,target,capacity,dist,src_lat,src_lon,dst_lat,dst_lon,src_city,dst_city
ABQ,PSP,5841.0,571.0,35.039976,-106.608925,33.8297,-116.507004,Albuquerque,Palm Springs
ABQ,RDU,43400.0,1565.0,35.039976,-106.608925,35.877602,-78.787498,Albuquerque,Raleigh/Durham
ABQ,RNO,45847.0,787.0,35.039976,-106.608925,39.4991,-119.767998,Albuquerque,Reno
ABQ,ROW,4740.0,169.0,35.039976,-106.608925,33.301601,-104.530998,Albuquerque,Roswell
ABQ,SAF,9480.0,50.0,35.039976,-106.608925,35.6171,-106.088997,Albuquerque,Santa Fe
ABQ,SAN,2435600.0,628.0,35.039976,-106.608925,32.7336006165,-117.190002441,Albuquerque,San Diego
ABQ,SAT,173600.0,609.0,35.039976,-106.608925,29.533701,-98.469803,Albuquerque,San Antonio
ABQ,SBD,740467.0,609.0,35.039976,-106.608925,34.095402,-117.235001,Albuquerque,San Bernardino
ABQ,SDF,3449689.0,1178.0,35.039976,-106.608925,38.1744,-85.736,Albuquerque,Louisville
ABQ,SEA,2811100.0,1180.0,35.039976,-106.608925,47.447943,-122.310276,Albuquerque,Seattle
ABQ,SFO,1436268.0,896.0,35.039976,-106.608925,37.619806,-122.374821,Albuquerque,San Francisco
ABQ,SLC,2100779.0,493.0,35.039976,-106.608925,40.78886,-111.979866,Albuquerque,Salt Lake City
ABQ,SPS,18960.0,469.0,35.039976,-106.608925,33.9888,-98.491898,Albuquerque,Wichita Falls
ABQ,STL,43400.0,934.0,35.039976,-106.608925,38.748697,-90.370003,Albuquerque,St Louis
ABQ,SVC,140400.0,188.0,35.039976,-106.608925,32.636701,-108.154736,Albuquerque,Silver City
ABQ,TSM,9000.0,111.0,35.039976,-106.608925,36.452494,-105.67749,Albuquerque,Taos
ABQ,TUL,40000.0,608.0,35.039976,-106.608925,36.19839859008789,-95.88809967041016,Albuquerque,Tulsa
ABQ,TUS,3610.0,321.0,35.039976,-106.608925,32.115004,-110.938053,Albuquerque,Tucson
ABQ,VNY,2600.0,679.0,35.039976,-106.608925,34.209800720215,-118.48999786377,Albuquerque,Van Nuys
ABQ,YIP,46632.0,1339.0,35.039976,-106.608925,42.2379,-83.530403,Albuquerque,Detroit
ABR,ATL,3610.0,1102.0,45.449100494384766,-98.42179870605467,33.6367,-84.428101,Aberdeen,Atlanta
ABR,DTW,3610.0,784.0,45.449100494384766,-98.42179870605467,42.21377,-83.353786,Aberdeen,Detroit
ABR,FSD,110000.0,153.0,45.449100494384766,-98.42179870605467,43.585463,-96.741152,Aberdeen,Sioux Falls
ABR,IFP,45847.0,1106.0,45.449100494384766,-98.42179870605467,35.157398,-114.559998,Aberdeen,Bullhead City
ABR,MSP,678160.0,257.0,45.449100494384766,-98.42179870605467,44.880081,-93.221741,Aberdeen,Minneapolis
ABR,PIR,5000.0,117.0,45.449100494384766,-98.42179870605467,44.38270187,-100.2860031,Aberdeen,Pierre
ABY,ATL,1433978.0,145.0,31.532946,-84.196215,33.6367,-84.428101,Albany,Atlanta
ABY,CVG,108025.0,519.0,31.532946,-84.196215,39.048801,-84.667801,Albany,Cincinnati / Covington
ABY,DTW,5350.0,738.0,31.532946,-84.196215,42.21377,-83.353786,Albany,Detroit
ABY,JAX,1944450.0,165.0,31.532946,-84.196215,30.492469,-81.687813,Albany,Jacksonville
ABY,MSY,540125.0,376.0,31.532946,-84.196215,29.993401,-90.258003,Albany,New Orleans
ABY,PNS,108025.0,192.0,31.532946,-84.196215,30.4734,-87.1866,Albany,Pensacola
ABY,SDF,2348280.0,466.0,31.532946,-84.196215,38.1744,-85.736,Albany,Louisville
ACK,ABE,3450.0,285.0,41.25310135,-70.06020355,40.651773,-75.442797,Nantucket,Allentown
ACK,ACY,3450.0,269.0,41.25310135,-70.06020355,39.45759963989258,-74.57720184326172,Nantucket,Atlantic City
ACK,ALB,3450.0,219.0,41.25310135,-70.06020355,42.74829864501953,-73.80169677734375,Nantucket,Albany
ACK,BAF,3450.0,151.0,41.25310135,-70.06020355,42.157799,-72.715599,Nantucket,Westfield
ACK,BBX,3450.0,284.0,41.25310135,-70.06020355,40.1375007629,-75.2650985718,Nantucket,Philadelphia
ACK,BDL,3450.0,144.0,41.25310135,-70.06020355,41.93851,-72.688066,Nantucket,Hartford
ACK,BDR,3450.0,160.0,41.25310135,-70.06020355,41.163502,-73.126198,Nantucket,Bridgeport
ACK,BED,31050.0,105.0,41.25310135,-70.06020355,42.470001,-71.289001,Nantucket,Bedford
ACK,BHM,21803.0,1058.0,41.25310135,-70.06020355,33.562901,-86.753502,Nantucket,Birmingham
ACK,BID,3450.0,79.0,41.25310135,-70.06020355,41.168446,-71.578631,Nantucket,Block Island
ACK,BLM,3450.0,226.0,41.25310135,-70.06020355,40.18690109,-74.12490082,Nantucket,Belmar/Farmingdale
ACK,BOS,2511750.0,91.0,41.25310135,-70.06020355,42.36197,-71.0079,Nantucket,Boston
ACK,BTV,3450.0,272.0,41.25310135,-70.06020355,44.471901,-73.153297,Nantucket,South Burlington
ACK,BVY,6900.0,102.0,41.25310135,-70.06020355,42.584202,-70.916496,Nantucket,Beverly / Danvers
ACK,BWI,3450.0,378.0,41.25310135,-70.06020355,39.1754,-76.668297,Nantucket,Baltimore
ACK,CDW,24150.0,222.0,41.25310135,-70.06020355,40.875198364300005,-74.2814025879,Nantucket,Caldwell
ACK,CEF,1600.0,143.0,41.25310135,-70.06020355,42.194,-72.534798,Nantucket,Chicopee
ACK,CHO,3450.0,496.0,41.25310135,-70.06020355,38.13859939575195,-78.4529037475586,Nantucket,Charlottesville
ACK,CLT,94230.0,723.0,41.25310135,-70.06020355,35.2140007019043,-80.94309997558594,Nantucket,Charlotte
ACK,CTH,3450.0,318.0,41.25310135,-70.06020355,39.97900009,-75.8655014,Nantucket,Coatesville
ACK,DAY,21803.0,750.0,41.25310135,-70.06020355,39.902401,-84.219398,Nantucket,Dayton
ACK,DCA,2213998.0,405.0,41.25310135,-70.06020355,38.8521,-77.037697,Nantucket,Washington
ACK,DXR,6900.0,178.0,41.25310135,-70.06020355,41.371656,-73.482227,Nantucket,Danbury
ACK,EWB,100800.0,55.0,41.25310135,-70.06020355,41.67610168457031,-70.95690155029297,Nantucket,New Bedford
ACK,EWR,1077660.0,218.0,41.25310135,-70.06020355,40.692501,-74.168701,Nantucket,Newark
ACK,FOK,13800.0,137.0,41.25310135,-70.06020355,40.8437004089,-72.6317977905,Nantucket,Westhampton Beach
ACK,FRG,13800.0,179.0,41.25310135,-70.06020355,40.7288017273,-73.4133987427,Nantucket,Farmingdale
ACK,GFL,3450.0,232.0,41.25310135,-70.06020355,43.3412017822,-73.6102981567,Nantucket,Glens Falls
ACK,HAR,3450.0,363.0,41.25310135,-70.06020355,40.2170982361,-76.85150146480001,Nantucket,Harrisburg
ACK,HFD,3450.0,138.0,41.25310135,-70.06020355,41.736698150635,-72.649398803711,Nantucket,Hartford
ACK,HPN,2339200.0,191.0,41.25310135,-70.06020355,41.06700134277344,-73.70760345458984,Nantucket,White Plains
ACK,HTO,51750.0,116.0,41.25310135,-70.06020355,40.959954,-72.25105,Nantucket,East Hampton
ACK,HVN,8500.0,147.0,41.25310135,-70.06020355,41.26369858,-72.88680267,Nantucket,New Haven
ACK,HYA,631800.0,31.0,41.25310135,-70.06020355,41.6693,-70.280403,Nantucket,Hyannis
ACK,IAD,3450.0,423.0,41.25310135,-70.06020355,38.9445,-77.455803,Nantucket,Dulles
ACK,IND,43606.0,861.0,41.25310135,-70.06020355,39.7173,-86.294403,Nantucket,Indianapolis
ACK,ISP,3450.0,162.0,41.25310135,-70.06020355,40.79520035,-73.10019684,Nantucket,Islip
ACK,JFK,2678184.0,199.0,41.25310135,-70.06020355,40.639447,-73.779317,Nantucket,New York
ACK,LDJ,3450.0,223.0,41.25310135,-70.06020355,40.617401123,-74.2445983887,Nantucket,Linden
ACK,LEB,3450.0,200.0,41.25310135,-70.06020355,43.6260986328,-72.30419921880001,Nantucket,Lebanon
ACK,LEW,3450.0,193.0,41.25310135,-70.06020355,44.048500061,-70.2835006714,Nantucket,Auburn/Lewiston
ACK,LGA,2827932.0,202.0,41.25310135,-70.06020355,40.777199,-73.872597,Nantucket,New York
ACK,MHT,3450.0,136.0,41.25310135,-70.06020355,42.932598,-71.435699,Nantucket,Manchester
ACK,MMU,10350.0,230.0,41.25310135,-70.06020355,40.799062,-74.414949,Nantucket,Morristown
ACK,MTN,3450.0,361.0,41.25310135,-70.06020355,39.325699,-76.413803,Nantucket,Baltimore
ACK,MTP,3450.0,98.0,41.25310135,-70.06020355,41.0765,-71.920797,Nantucket,Montauk
ACK,MVL,3450.0,261.0,41.25310135,-70.06020355,44.534599,-72.613998,Nantucket,Morrisville
ACK,MVY,157050.0,30.0,41.25310135,-70.06020355,41.3931007385,-70.6143035889,Nantucket,Martha's Vineyard
ACK,NPT,10350.0,66.0,41.25310135,-70.06020355,41.532398,-71.281502,Nantucket,Newport
ACK,NYS,1600.0,208.0,41.25310135,-70.06020355,40.735061,-73.972814,Nantucket,New York
ACK,ORD,211737.0,924.0,41.25310135,-70.06020355,41.9786,-87.9048,Nantucket,Chicago
ACK,ORF,3450.0,446.0,41.25310135,-70.06020355,36.895341,-76.201,Nantucket,Norfolk
ACK,ORL,3450.0,1083.0,41.25310135,-70.06020355,28.5455,-81.332901,Nantucket,Orlando
ACK,OWD,35850.0,87.0,41.25310135,-70.06020355,42.1904983521,-71.1728973389,Nantucket,Norwood
ACK,OXC,10350.0,161.0,41.25310135,-70.06020355,41.47859954834,-73.135200500488,Nantucket,Oxford
ACK,PHL,679343.0,289.0,41.25310135,-70.06020355,39.871899,-75.241096,Nantucket,Philadelphia
ACK,PIT,65409.0,535.0,41.25310135,-70.06020355,40.491501,-80.232903,Nantucket,Pittsburgh
ACK,PNE,3450.0,272.0,41.25310135,-70.06020355,40.082406,-75.010614,Nantucket,Philadelphia
ACK,PSM,6900.0,132.0,41.25310135,-70.06020355,43.0778999329,-70.8233032227,Nantucket,Portsmouth
ACK,PVC,3450.0,57.0,41.25310135,-70.06020355,42.0718994141,-70.2213973999,Nantucket,Provincetown
ACK,PVD,120350.0,78.0,41.25310135,-70.06020355,41.725038,-71.425668,Nantucket,Warwick
ACK,PWM,10350.0,166.0,41.25310135,-70.06020355,43.646198,-70.309303,Nantucket,Portland
ACK,RME,3450.0,306.0,41.25310135,-70.06020355,43.23379898,-75.40699768,Nantucket,Rome
ACK,RUT,10350.0,216.0,41.25310135,-70.06020355,43.5294,-72.9496,Nantucket,Rutland
ACK,SBN,5841.0,843.0,41.25310135,-70.06020355,41.708698,-86.317299,Nantucket,South Bend
ACK,SUN,2800.0,2242.0,41.25310135,-70.06020355,43.50439835,-114.2959976,Nantucket,Hailey
ACK,SYR,3450.0,336.0,41.25310135,-70.06020355,43.11119842529297,-76.1063003540039,Nantucket,Syracuse
ACK,TEB,534750.0,211.0,41.25310135,-70.06020355,40.850101,-74.060799,Nantucket,Teterboro
ACK,WSH,3450.0,150.0,41.25310135,-70.06020355,40.821899,-72.8694,Nantucket,Shirley
ACK,WST,6900.0,91.0,41.25310135,-70.06020355,41.349602,-71.803398,Nantucket,Westerly
ACK,WVL,3450.0,227.0,41.25310135,-70.06020355,44.5331993103,-69.6754989624,Nantucket,Waterville
ACT,ASE,4650.0,755.0,31.611299514770508,-97.23049926757812,39.223202,-106.869003,Waco,Aspen
ACT,AZA,39000.0,850.0,31.611299514770508,-97.23049926757812,33.3078,-111.654999,Waco,Mesa
ACT,BHM,36000.0,626.0,31.611299514770508,-97.23049926757812,33.562901,-86.753502,Waco,Birmingham
ACT,BJC,15000.0,723.0,31.611299514770508,-97.23049926757812,39.908798,-105.116997,Waco,Denver
ACT,BPT,4740.0,223.0,31.611299514770508,-97.23049926757812,29.9508,-94.020699,Waco,Beaumont/Port Arthur
ACT,BWI,32037.0,1269.0,31.611299514770508,-97.23049926757812,39.1754,-76.668297,Waco,Baltimore
ACT,CKB,12240.0,1093.0,31.611299514770508,-97.23049926757812,39.2966,-80.228104,Waco,Bridgeport
