Date,Close/Last,Volume,Open,High,Low
05/13/2022,$51.57,4879384,$49.58,$52.38,$49.57
05/12/2022,$48.30,10746020,$49.33,$50.36,$47.51
05/11/2022,$50.15,6939537,$50.39,$52.07,$49.43
05/10/2022,$51.16,3805442,$51.01,$52.20,$49.48
05/09/2022,$49.86,6135182,$52.64,$54.00,$49.52
05/06/2022,$53.55,4837092,$55.11,$55.87,$51.95
05/05/2022,$55.36,6069775,$56.02,$56.92,$54.58
05/04/2022,$57.35,5456364,$54.39,$57.81,$54.24
05/03/2022,$54.29,6928075,$52.19,$56.25,$51.27
05/02/2022,$52.94,5681517,$50.69,$52.975,$50.55
04/29/2022,$50.97,4619111,$52.43,$53.9499,$50.82
04/28/2022,$52.58,4757495,$52.27,$53.10,$50.01
04/27/2022,$51.68,4228882,$50.68,$52.07,$50.41
04/26/2022,$50.88,4870598,$52.66,$52.77,$50.65
04/25/2022,$53.00,3805568,$51.52,$53.04,$50.90
04/22/2022,$51.77,3101169,$53.63,$53.91,$51.68
04/21/2022,$53.87,4008328,$59.15,$59.33,$53.405
04/20/2022,$57.93,2122541,$56.92,$58.40,$56.58
04/19/2022,$56.43,3427585,$54.61,$56.62,$54.26
04/18/2022,$54.55,2725482,$54.98,$55.27,$53.88
04/14/2022,$55.25,1825408,$56.48,$56.90,$55.18
04/13/2022,$56.49,1572800,$56.07,$56.73,$55.63
04/12/2022,$55.50,2903556,$56.60,$57.56,$54.90
04/11/2022,$56.26,2885864,$57.15,$57.25,$55.84
04/08/2022,$57.70,4032429,$55.53,$58.33,$55.50
04/07/2022,$55.81,3540415,$55.85,$56.25,$54.345
04/06/2022,$56.30,3142098,$56.51,$56.655,$55.305
04/05/2022,$57.48,3073135,$59.50,$59.69,$56.65
04/04/2022,$59.94,1912311,$60.13,$61.515,$59.71
04/01/2022,$59.78,2667784,$58.89,$60.10,$58.55
03/31/2022,$58.47,3452200,$59.30,$60.31,$58.45
03/30/2022,$59.31,2692047,$61.20,$61.65,$58.81
03/29/2022,$61.78,3417702,$59.52,$62.29,$59.52
03/28/2022,$58.58,2485400,$58.84,$59.31,$57.29
03/25/2022,$58.66,3898912,$59.46,$59.8899,$58.15
03/24/2022,$59.25,2469597,$59.66,$59.93,$58.80
03/23/2022,$58.98,3282441,$59.36,$60.13,$58.725
03/22/2022,$60.15,2841296,$59.00,$60.59,$58.84
03/21/2022,$58.40,2401273,$59.43,$60.09,$57.821
03/18/2022,$59.47,4677702,$58.21,$59.55,$57.50
03/17/2022,$57.66,4110202,$55.04,$57.915,$54.70
03/16/2022,$55.46,3462249,$53.75,$55.84,$52.91
03/15/2022,$52.08,3419444,$50.95,$52.23,$50.55
03/14/2022,$50.85,4425125,$52.69,$53.01,$50.5501
03/11/2022,$52.29,3386029,$54.49,$54.76,$52.22
03/10/2022,$53.45,3426000,$53.70,$54.73,$52.93
03/09/2022,$54.97,4897448,$54.41,$55.58,$53.7016
03/08/2022,$52.27,5374996,$52.02,$53.47,$51.10
03/07/2022,$51.16,7045480,$55.30,$55.75,$51.10
03/04/2022,$55.89,3637906,$56.97,$57.545,$55.25
03/03/2022,$57.78,3816231,$60.13,$60.416,$57.52
03/02/2022,$60.13,3548949,$58.44,$60.40,$57.69
03/01/2022,$57.75,3078299,$59.94,$60.37,$57.4665
02/28/2022,$60.12,3509632,$60.06,$61.14,$59.62
02/25/2022,$61.01,4212379,$59.30,$61.06,$59.21
02/24/2022,$58.76,4292304,$55.60,$59.14,$55.11
02/23/2022,$57.99,4226566,$60.16,$61.03,$56.78
02/22/2022,$58.03,4641196,$57.66,$59.913,$57.66
02/18/2022,$59.14,3921880,$59.12,$59.735,$57.875
02/17/2022,$58.41,4065351,$61.43,$61.96,$58.34
02/16/2022,$62.20,2175708,$62.12,$62.505,$61.6909
02/15/2022,$62.50,3550383,$62.32,$62.815,$61.25
02/14/2022,$60.57,5940324,$62.06,$62.73,$60.4209
02/11/2022,$62.76,5144138,$66.01,$66.245,$62.38
02/10/2022,$66.00,4075502,$67.00,$68.82,$65.81
02/09/2022,$68.83,3520397,$67.50,$69.30,$67.385
02/08/2022,$66.38,8759589,$67.62,$68.6499,$64.48
02/07/2022,$70.73,3495992,$70.85,$71.61,$70.15
02/04/2022,$70.93,3417513,$70.41,$71.58,$69.83
02/03/2022,$70.91,1769895,$71.27,$72.17,$70.77
02/02/2022,$73.18,2407858,$73.00,$73.30,$71.82
02/01/2022,$72.46,2288015,$71.66,$72.48,$70.86
01/31/2022,$71.16,3496940,$68.22,$71.22,$67.61
01/28/2022,$68.19,4423292,$66.09,$68.23,$65.29
01/27/2022,$66.00,3718091,$66.31,$67.72,$65.9928
01/26/2022,$64.53,4259556,$66.30,$67.16,$64.27
01/25/2022,$64.76,3302454,$63.75,$65.83,$62.92
01/24/2022,$65.41,4460963,$64.05,$65.69,$61.13
01/21/2022,$65.82,1957191,$66.31,$67.626,$65.475
01/20/2022,$67.08,1689699,$67.77,$69.46,$66.93
01/19/2022,$66.88,1648240,$68.75,$68.95,$66.87
01/18/2022,$67.96,2782952,$68.01,$69.15,$67.47
01/14/2022,$69.40,2946485,$68.81,$69.66,$67.80
01/13/2022,$69.86,3779034,$72.42,$73.28,$69.78
01/12/2022,$72.14,2577915,$72.10,$73.10,$70.805
01/11/2022,$71.68,3126771,$69.66,$71.98,$69.24
01/10/2022,$69.31,3005580,$69.55,$69.55,$67.20
01/07/2022,$69.50,2937595,$70.37,$70.68,$68.94
01/06/2022,$70.59,4383328,$70.66,$71.05,$68.16
01/05/2022,$68.98,6245917,$74.17,$74.29,$68.42
01/04/2022,$74.31,5905528,$74.27,$74.70,$72.78
01/03/2022,$73.52,2061780,$74.47,$75.19,$72.71
12/31/2021,$74.50,1269698,$74.34,$74.84,$74.11
12/30/2021,$74.77,1308503,$74.80,$75.833,$74.68
12/29/2021,$74.50,2138978,$76.56,$76.85,$74.11
12/28/2021,$76.73,1671024,$78.07,$78.40,$76.58
12/27/2021,$77.25,1692784,$75.82,$77.49,$75.51
12/23/2021,$75.74,2084831,$74.39,$76.37,$74.39
12/22/2021,$74.00,2675598,$72.25,$74.21,$72.18
12/21/2021,$72.16,1772989,$71.21,$72.45,$71.11
12/20/2021,$70.58,2950738,$70.17,$70.74,$68.95
12/17/2021,$71.58,3681515,$70.00,$72.16,$69.02
12/16/2021,$71.09,3320690,$75.50,$75.79,$70.78
12/15/2021,$73.94,3098703,$73.36,$74.42,$71.60
12/14/2021,$73.04,2888406,$71.68,$73.41,$71.19
12/13/2021,$72.39,2955774,$75.22,$75.49,$72.39
12/10/2021,$75.34,1299537,$76.39,$76.7956,$74.58
12/09/2021,$75.76,1675223,$76.55,$77.27,$75.61
